fase	deel	vraag	oordeel	criterium
2	inzamelen	3	3	Er is een lijst van alle geselecteerde meet- en analysevariabelen.
2	inzamelen	3	4	Er is een lijst van allerlei mogelijke meet- en analysevariabelen. De uiteindelijke selectie is gebaseerd op.
2	inzamelen	4	1	Er zijn normen, referentiewaarden of streefdoelen vastgelegd.
2	inzamelen	4	2	Er is geen enkel vermelding van normen, referentiewaarden of streefdoelen.
2	inzamelen	4	3	De relevante normen, referentiewaarden of streefdoelen zijn opgelijst. Anders is er een motivatie waarom er geen relevante normen, referentiewaarden of streefdoelen zijn.
2	inzamelen	4	4	De motivatie legt de link tussen de relevante normen, referentiewaarden of streefdoelen en de meetvragen.
2	dimensionering	1	1	Aan de hand van steekproefgrootteberekeningen schat men in met welke precisie analysevariabelen ingeschat kunnen worden en welke statistische uitspraken men zal kunnen doen over de meetvragen.
2	dimensionering	1	2	De steekproefgrootte is louter op basis van budgettaire beperkingen vastgelegd.
2	dimensionering	1	3	De steekproefgrootte is uitgerekend zodat de detecteerbare effectgrootte gekend is.
2	dimensionering	1	3	De steekproefgrootte is voor meerdere scenario's uitgerekend waarbij voor elk scenario de detecteerbare effectgrootte en het budget gekend is.
2	steekproef	1	1	Het steekproefkader is vastgelegd op basis van de doelpopulatie.
2	steekproef	1	2	Er is geen steekproefkader of het steekproefkader overlapt onvoldoende met de doelpopulatie.
2	steekproef	1	3	Het steekproefkader heeft een redelijke overlap met de doelpopulatie. Er is geen duidelijke motivatie voor de discrepantie tussen het steekproefkader en de doelpopulatie.
2	steekproef	1	4	Het steekproefkader overlapt nagenoeg perfect met de doelpopulatie. Er is een duidelijke motivatie voor de discrepantie tussen het steekproefkader en de doelpopulatie.
2	steekproef	2	1	Een steekproef wordt getrokken waarmee een representatief beeld verkregen wordt van de doelpopulatie (en eventuele strata binnen de doelpopulatie).
2	steekproef	2	2	De steekproef is niet aselect gekozen.
2	steekproef	2	3	De steekproef is aselect gekozen en geldig voor een bepaald tijdstip.
2	steekproef	2	4	De steekproef is aselect gekozen. Er is een methodiek voorhanden om de steekproef bij te werken indien het steekproefkader wijzigt.
2	bemonsteringsmethodiek	1	1	De nodige protocollen zijn opgesteld zodat de gegevens op een herhaalbare en reproduceerbare manier worden ingezameld.
2	bemonsteringsmethodiek	1	2	De protocollen zijn niet op papier gezet of zijn voor interpretatie vatbaar.
2	bemonsteringsmethodiek	1	3	Alle stappen van de gegevensinzameling zijn ondubbelzinnig beschreven in protocollen.
2	bemonsteringsmethodiek	1	4	De volledige gegevensinzameling gebeurd aan de hand van officiële INBO veldprotocollen. Elk protocol is publiek beschikbaar via https://inbo.github.io/protocols/ of er is een duidelijke motivatie waarom het protocol daar onmogelijk gepubliceerd kan worden.
2	meetkosten	1	1	Identificatie van de verschillende kostenbronnen (loonkosten veldwerkers en de tijd nodig voor en frequentie van bemonstering, kosten meetapparatuur, labokosten, ...).
2	meetkosten	1	2	De beschikbare informatie laat niet toe om de kostprijs van een meetnet met aangepast scenario door te rekenen.
2	meetkosten	1	3	Met de beschikbare informatie kan je de kostprijs van een scenario met meer of minder metingen berekenen. Hierbij veronderstellen we dat de gebruikte methodologie van het meetnet constant blijft.
2	meetkosten	1	4	De beschikbare informatie laat eveneens toe om scenario's met een alternatieve methodologie door te rekenen.
3	gegevensopslag	1	1	Er is een data management plan voor het meetnet waarin de datastromen worden beschreven.
3	gegevensopslag	1	2	Er is geen data management plan beschikbaar.
3	gegevensopslag	1	3	Er is een ontwerp data management plan beschikbaar.
3	gegevensopslag	1	4	Er is een goedgekeurd en gepubliceerd data management plan volgens het sjabloon van de organisatie.
3	gegevensopslag	2	1	De gegevens worden opgeslagen in een centrale databank.
3	gegevensopslag	2	2	Nog in te vullen in overleg met team Databeheer.
3	gegevensopslag	3	1	De gegevens zijn gepubliceerd.
3	gegevensopslag	3	2	De gegevens zijn niet gepubliceerd.
3	gegevensopslag	3	3	De verwerkte gegevens zijn publiek beschikbaar. Denk hierbij aan alle informatie nodig om de tabellen en figuren van een rapport aan te maken.
3	gegevensopslag	3	4	Zowel de verwerkte als de ruwe gegevens zijn publiek beschikbaar. Indien (een deel van) de ruwe gegevens niet publiek mag zijn, is dit gemotiveerd op basis van de beschikbare richtlijnen van de organisatie.
3	gegevensopslag	4	1	De gegevens zijn open.
3	gegevensopslag	4	2	De gegevens zijn zonder licentie of met een onduidelijke licentie.
3	gegevensopslag	4	3	Er is een `lees-mij` bestand met vermelding van de licentie waaronder de gegevens beschikbaar zijn. De licentie is een gestandaardiseerde open licentie.
3	gegevensopslag	4	4	De gekozen licentie volgt de richtlijnen van de organisatie. De licentietekst is bij de gegevens gevoegd.
3	gegevensopslag	4	1	De gegevens zijn FAIR (`Findable`, `Accessible`, `Interoperable`, `Re-usable`).
3	gegevensopslag	4	2	De gegevens zijn niet FAIR.
3	gegevensopslag	4	3	De publiek beschikbare gegevens zijn FAIR.
3	gegevensopslag	4	4	Alle gegevens zijn FAIR. De metadata van niet publiek beschikbare gegevens is publiek.
3	verwerking	1	1	Voor elke meetvraag is een analysewerkstroom voorzien.
3	verwerking	1	2	De werkwijze om de ruwe gegevens om te zetten naar een antwoord op de meetvragen is niet gedocumenteerd.
3	verwerking	1	3	Voor elke meetvraag is er een voldoende duidelijke beschrijving van de analysewerkstroom.
3	verwerking	1	3	De analysewerkstroom beschrijft niet alleen hoe je de ruwe gegevens kan omvormen tot een antwoord op de meetvraag. Ze bevat eveneens richtlijnen voor de interpretatie van de resultaten. Vanaf wanneer spreken we vanaf een sterke effect of een sterke wijziging, wanneer beschouwen we een resultaat als stabiel of geen effect.
3	verwerking	2	1	De analysewerkstroom is reproduceerbaar.
3	verwerking	2	2	De analysewerkstroom is onvoldoende gedocumenteerd.
3	verwerking	2	3	De volledige analysewerkstroom is vastgelegd in scripts.
3	verwerking	2	4	De volledige analysewerkstroom is vastgelegd in scripts voorzien van de nodige documentatie.
3	verwerking	3	1	De analysewerkstroom is open.
3	verwerking	3	2	De analysewerkstroom is niet publiek.
3	verwerking	3	3	De (finale versies van de) scripts zijn publiek beschikbaar met een open licentie (GPL, MIT of equivalent).
3	verwerking	3	4	De scripts zijn publiek beschikbaar met een open licentie (GPL, MIT of equivalent). De volledige analyseflow maakt gebruik van Freeware Open Source Software (`R`, `Qgis`, `python`, ...).
3	verwerking	4	1	Wijzigingen in de analysewerkstroom zijn gedocumenteerd.
3	verwerking	4	2	Er is geen informatie over wijzigingen in de analysewerkstroom.
3	verwerking	4	3	Er is een minimale vorm van versiebeheer. Bijvoorbeeld door jaarlijks de finale versie van de analysescripts te archiveren.
3	verwerking	4	4	Je beheert de analysescripts met een versiebeheersysteem zoals git. Je documenteert de gebruikte softwareversies.
4	gegevensgebruik	1	1	Een communicatieplan beschrijft de communicatie en rapportering op maat van de verschillende doelgroepen.
4	gegevensgebruik	1	2	In te vullen in overleg met team Communicatie.
4	gegevensgebruik	2	1	Overzicht van de eindproducten die uit het meetnet voortvloeien.
4	gegevensgebruik	2	2	Een inventaris van de eindproducten ontbreekt.
4	gegevensgebruik	2	3	Alle eindproducten (rapporten, wetenschappelijke artikels, vulgariserende artikels, datasets, ...) zijn opgenomen in een inventaris.
4	gegevensgebruik	2	4	Je zet de inventaris van alle eindproducten publiek beschikbaar en werkt deze minstens eenmaal per jaar bij.
4	kwaliteitscontrole	1	1	Er zijn validatieprocedures om ontbrekende, onmogelijke of afwijkende waarden in een zo vroeg mogelijk stadium te detecteren.
4	kwaliteitscontrole	1	2	Er zijn geen validatieprocedures.
4	kwaliteitscontrole	1	3	De meetnetbeheerder past de validatieprocedures handmatig toe op alle gegevens.
4	kwaliteitscontrole	1	4	De meetnetbeheerder beschikt over een automatische validatie die ontbrekende, onmogelijke of vreemde waarden niet toestaan of spoedig rapporteren aan de meetnetbeheerder. De meetnetbeheerder controleer de gerapporteerde anomalieën zo spoedig mogelijk.
4	kosteninschatting	1	1	Naast meetkosten, is er een inschatting van andere vaste kosten geassocieerd met het veldwerk: kosten verbonden aan het beheer en analyse van het de gegevens, kosten verbonden aan communicatie en kosten verbonden aan onderhoud en vorming.
4	kosteninschatting	1	2	De meetnetbeheerder beschikt niet over een overzicht van de overige kosten.
4	kosteninschatting	1	3	De meetnetbeheerder beschikt over een ruwe begroting van de overige kosten.
4	kosteninschatting	1	4	De meetnetbeheerder beschikt over een gedetailleerde begroting van de overige kosten.
4	archivering	1	1	Alle relevante documenten van het meetnet zijn gearchiveerd
4	archivering	1	2	Het is onduidelijk welke documenten gearchiveerd zijn.
4	archivering	1	3	Er is een overzicht van alle relevante documenten met een verwijzing naar de fysieke of digitale locatie van het document.
4	archivering	1	4	Er is een overzicht van alle relevante documenten met een verwijzing naar hun locatie. Alle documenten zijn op een duurzame wijze gearchiveerd volgens de richtlijnen van de organisatie.

